timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-06-28T13:06:23,codecarbon,438f12d5-2554-4c02-b14b-37199edbfeaf,0.6212220191955566,2.306669446790268e-06,3.713116044690849e-06,42.5,0.0,4.754399299621582,7.271472778585223e-06,0,8.078240488854742e-07,8.079296827470697e-06,United States,USA,south carolina,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-79.9746,32.8608,12.67839813232422,machine,N,1.0
2023-06-28T13:06:26,codecarbon,ca7feaeb-eb89-4262-b4db-b686d08edeef,0.4572806358337402,1.6986649512559945e-06,3.7147100011328736e-06,42.5,0.0,4.754399299621582,5.355671876006656e-06,0,5.940398916309657e-07,5.949711767637622e-06,United States,USA,south carolina,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-79.9746,32.8608,12.67839813232422,machine,N,1.0
2023-06-28T13:06:30,codecarbon,7a8afac8-6f4a-4536-961c-980705c220d5,1.2771787643432615,4.757400145431957e-06,3.724928943583133e-06,42.5,0.0,4.754399299621582,1.499986118740506e-05,0,1.6633186867123111e-06,1.666317987411737e-05,United States,USA,south carolina,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-79.9746,32.8608,12.67839813232422,machine,N,1.0
2023-06-28T13:06:34,codecarbon,d6f8dc76-eaa7-465c-bbd1-51278a5ab7ad,0.9203722476959229,3.424459396176103e-06,3.7207330020532003e-06,42.5,0.0,4.754399299621582,1.0791457527213626e-05,0,1.2029892600478813e-06,1.1994446787261507e-05,United States,USA,south carolina,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-79.9746,32.8608,12.678398132324219,machine,N,1.0
