timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-06-28T12:59:08,codecarbon,01b5af05-4239-421c-a97e-e6ad4ab80979,0.0337493419647216,1.007072319952805e-07,2.9839761646478964e-06,42.5,0.0,4.754399299621582,3.22233968310886e-07,0,3.0501279947164526e-08,3.5273524825805053e-07,United States,USA,south carolina,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-79.9746,32.8608,12.67839813232422,machine,N,1.0
2023-06-28T12:59:11,codecarbon,e8e5ef17-85a6-4065-9b2a-5a4408a278c4,0.592679500579834,2.150858293353145e-06,3.6290411449171153e-06,42.5,0.0,4.754399299621582,6.78628103600608e-06,0,7.472745889699202e-07,7.533555624976e-06,United States,USA,south carolina,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-79.9746,32.8608,12.67839813232422,machine,N,1.0
2023-06-28T12:59:13,codecarbon,133ab34f-e2e2-4678-a714-c9538a6cef9e,0.211672306060791,7.564614038488915e-07,3.573738189594062e-06,42.5,0.0,4.754399299621582,2.3867363731066386e-06,0,2.628310491890791e-07,2.6495674222957176e-06,United States,USA,south carolina,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-79.9746,32.8608,12.67839813232422,machine,N,1.0
2023-06-28T12:59:16,codecarbon,a28a5db3-cf06-41eb-a7bd-8f0ce24e88b8,0.0440056324005126,1.434644322029941e-07,3.2601379500075684e-06,42.5,0.0,4.754399299621582,4.562654429011875e-07,0,4.623036704913375e-08,5.024958099503212e-07,United States,USA,south carolina,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-79.9746,32.8608,12.67839813232422,machine,N,1.0
2023-06-28T12:59:20,codecarbon,ff676e2b-1f45-40ba-b4b0-c618a4740180,1.1609642505645752,4.319413823578884e-06,3.7205399059259222e-06,42.5,0.0,4.754399299621582,1.3611224293708803e-05,0,1.5178729637826417e-06,1.5129097257491444e-05,United States,USA,south carolina,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-79.9746,32.8608,12.67839813232422,machine,N,1.0
2023-06-28T12:59:24,codecarbon,d2ad9e8b-773e-43ff-ac04-d700f323972a,0.1371445655822754,4.6890155682468224e-07,3.4190312597066057e-06,42.5,0.0,4.754399299621582,1.479933328098721e-06,0,1.624324064980935e-07,1.6423657345968145e-06,United States,USA,south carolina,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-79.9746,32.8608,12.678398132324219,machine,N,1.0
