timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-06-28T07:04:56,codecarbon,0090d296-5b71-40e1-828b-8b67821a7499,0.0441491603851318,1.353559720593012e-09,3.065878736504472e-08,42.5,9.537,4.754399299621582,4.563217361768087e-07,7.805380046367647e-08,3.50124428352198e-08,5.693879794757049e-07,Canada,CAN,quebec,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,-71.2,46.8,12.67839813232422,machine,N,1.0
2023-06-28T07:04:59,codecarbon,90a51b04-62dc-4849-a6d3-afbad37513b3,0.5946800708770752,2.1870349633206903e-08,3.6776664805583626e-08,42.5,9.735,4.754399299621582,6.907894213994344e-06,1.5459201206763584e-06,7.461596292584242e-07,9.199973963929128e-06,Canada,CAN,quebec,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,-71.2,46.8,12.67839813232422,machine,N,1.0
2023-06-28T07:05:01,codecarbon,d916af39-a7a2-4587-bbd3-9c1a6b28bfad,0.091304063796997,3.1901613025972603e-09,3.493997057666761e-08,42.5,9.537,4.754399299621582,1.0333728459146287e-06,2.079047191143036e-07,1.0069462182930997e-07,1.3419721868582423e-06,Canada,CAN,quebec,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,-71.2,46.8,12.67839813232422,machine,N,1.0
2023-06-28T07:05:03,codecarbon,f23f5d91-d4fe-473f-b653-a3bac4c9b43f,0.0426805019378662,1.138884910391517e-09,2.668396243440373e-08,42.5,9.933000000000002,4.754399299621582,3.965776827600267e-07,5.7858702143033365e-08,2.4646560693971282e-08,4.790829455970313e-07,Canada,CAN,quebec,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,-71.2,46.8,12.67839813232422,machine,N,1.0
2023-06-28T07:05:06,codecarbon,97507358-f1b3-41b4-9ee9-15c75eae4719,0.514063835144043,1.8934637072838144e-08,3.6833240890273046e-08,42.5,9.834,4.754399299621582,5.974056323369345e-06,1.3482624479134877e-06,6.42719328614021e-07,7.965038099896853e-06,Canada,CAN,quebec,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,-71.2,46.8,12.67839813232422,machine,N,1.0
2023-06-28T07:05:08,codecarbon,2fc52681-fab0-4e60-83a2-d327943d0001,0.1578054428100586,5.128430520285402e-09,3.2498438767148236e-08,42.5,9.636000000000001,4.754399299621582,1.6765601105160183e-06,3.2734013716379805e-07,1.5342362019320415e-07,2.1573238678730207e-06,Canada,CAN,quebec,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,-71.2,46.8,12.678398132324219,machine,N,1.0
