timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-06-28T07:01:14,codecarbon,c8b4ad8d-bbad-4910-9628-71f3c93992df,0.0319890975952148,1.9287936353124129e-07,6.029534373614012e-06,42.5,0.0,4.754399299621582,3.0693064133326215e-07,0,2.9521085205033163e-08,3.364517265382953e-07,Taiwan,TWN,taipei city,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.67839813232422,machine,N,1.0
2023-06-28T07:01:16,codecarbon,b35ad6ff-f572-4d83-998e-399d7aedd79b,0.47939133644104,3.576843252048627e-06,7.461217965687079e-06,42.5,0.0,4.754399299621582,5.614609685209063e-06,0,6.247052195899035e-07,6.239314904798966e-06,Taiwan,TWN,taipei city,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.67839813232422,machine,N,1.0
2023-06-28T07:01:19,codecarbon,51c8ef86-9313-4888-86c9-ffae1b429061,0.188800573348999,1.3104875307607864e-06,6.941120503582064e-06,42.5,0.0,4.754399299621582,2.085195812914107e-06,0,2.0077083618237642e-07,2.2859666490964832e-06,Taiwan,TWN,taipei city,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.67839813232422,machine,N,1.0
2023-06-28T07:01:22,codecarbon,16ff20b4-a056-4f13-a5f5-1c0d3b1ac9c9,0.1008739471435546,7.043715065143926e-07,6.982690044952783e-06,42.5,0.0,4.754399299621582,1.108473704920875e-06,0,1.2020625934477872e-07,1.2286799642656536e-06,Taiwan,TWN,taipei city,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.67839813232422,machine,N,1.0
2023-06-28T07:01:27,codecarbon,fd4d5a7f-7090-4c35-ab10-5b5c2ab7030b,0.6644687652587891,4.956160695641916e-06,7.458831708532834e-06,42.5,0.0,4.754399299621582,7.778942584991456e-06,0,8.664033583026291e-07,8.645345943294084e-06,Taiwan,TWN,taipei city,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.67839813232422,machine,N,1.0
2023-06-28T07:01:30,codecarbon,58b026f6-48c6-4eed-9a30-9c8bbbc76875,0.25809502601623535,1.9070892465611044e-06,7.389097248395402e-06,42.5,0.0,4.754399299621582,2.9952160186237762e-06,0,3.3144090268118966e-07,3.326656921304966e-06,Taiwan,TWN,taipei city,,,Linux-5.15.107+-x86_64-with-glibc2.31,3.10.12,2.2.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.678398132324219,machine,N,1.0
